key,q,a
,"百旅会，你们安排的一日游怎么都是周一至周五？能不能安排几次周六日？像我们这些平日为子女看孩子的老人怎么能参加，而且我们又是会员。意见提过几次了，怎么就是不釆纳呢？是不是有意躲避呢?周边游为什么周末不发班","敬的同程vip会员您好，周末出游人多拥挤，  为了保证出游质量，让大家游玩的开心，安排的错峰出游，我们的线路每个月还是有周末出游团期的，您可以关注提前预约~"
,体检项目是固定的吗,"尊敬的同程vip会员您好，百旅会健康权益：包含一年一次免费检前健康问卷，一次百旅会中老年专享体检（基础内外科，眼耳鼻喉科，心电图，胸部DR，腹部彩超，血常规，尿常规，血脂，血糖，肝功，肾功，肿瘤筛查AFP和CEA,骨密度），集中体检日参检同程专人陪检，健康专家报告解读和健康管理建议，不定期健康讲座。"
,"怎么周边游没有积分抵扣，积分抵扣在哪里看","尊敬的同程vip会员您好，大额积分抵扣支持国内游 ，出境游，游轮游，部分周边游线路也支持积分抵扣，具体详情请https://appnew.ly.com/mp/html/homePage/indexV2.html?tcwvcwl=1&wvc5=1&wvc3=1"
,周边游下午几点结束,"尊敬的同程vip会员您好，周边一日游一般情况是16:00左右结束一天的行程~"
,开旅游发票的额度能不能自己定,"尊敬的同程vip会员您好，会员费发票开取，不超过支付金额即可~"
,"体检的项目有哪些？可以增加吗","尊敬的同程vip会员您好，我们现在提供的项目初步覆盖全身各个系统，如果您在某些项目上需要更深入的检测，可以联系您的专属客服，进行付款加项，可以享受百旅会会员价八折（美年、爱康），其他机构后期同步共享中。"
,体检能给开发票吗,"尊敬的同程vip会员您好，体检属于会员权益，这个不可以单独开取发票，您的会员费用是可以开取发票的，开票类型：个人、姓名全称或者单位名称全称必须具体明确，一经开出，不予更换抬头或发票张数，开票项目：会员费/服务费（ 不可以备注其他内容：如礼品卡之类）"
,近期的门店活动有吗,"尊敬的同程vip会员您好，您可微信关注Bailvhui999公众号——个人中心——我的权益——预约，或登录同程app-百旅会-我的权益-查看详细—相应权益预约https://appnew.ly.com/mp/html/homePage/indexV2.html?tcwvcwl=1&wvc5=1&wvc3=1"
,体检最早可以预约什么时候的,"尊敬的同程vip会员您好，一般体检中心都是7点半开始营业，我们准时到体检中心即可。"
,"会员日是干什么的？有什么活动？","尊敬的同程vip会员您好，线下VIP会员日，每月第三个周末是会员狂欢节即VIP会员日，每次活动提供专属会员高积分抵扣产品，产品覆盖率≥40%。抵扣后绝对优势，更有积分抽奖旅游产品/积分兑换旅游产品/积分兑换等多项活动。"
,周边游的日期怎么不安排周末,"敬的同程vip会员您好，周末出游人多拥挤，为保证出游质量，错峰出游，让大家可以体验出游的乐趣，周末的团期也是有的，您可以关注会员周边权益，提前预约~"
,体检能不能自己选时间,"尊敬的同程vip会员您好，体检日期您可以按照开放日期自行选择
周边游发班不在周末，想带孩子一起出去玩，工作日没时间  尊敬的同程vip会员您好，周末出游人多拥挤，为保证出游质量，错峰出游，让大家可以体验出游的乐趣，周末的团期也是有的，您可以关注会员周边权益，提前预约~"
,"不同旅游产品的一般儿童收费标准是怎么样能否普及一下","尊敬的同程vip会员您好，线路不同标准不同，根据具体线路，您可以查看线路上的费用说明~"
,积分为什么不能用来大额抵扣周边游,"尊敬的同程vip会员您好，大额积分抵扣支持国内游 ，出境游，游轮游，部分周边游线路也支持积分抵扣，具体详情请可查看会员频道https://appnew.ly.com/mp/html/homePage/indexV2.html?tcwvcwl=1&wvc5=1&wvc3=1"
,新疆这边护照怎么办呀不同地区中老年人护照办理的注意点有哪些,"敬的同程vip会员您好，各地区政策不一，详情请咨询当地出境管理处。"
,同程旅游APP怎么下载有哪些会员可以使用的功能啊,"敬的同程vip会员您好，苹果手机打开app store-搜索统称旅游-点击安装"
,积分抵扣5年都用不完怎么办,"尊敬的同程vip会员您好，积分5年有效期，过期自动清零，建议您尽快使用~"
,百旅会国内游目的地有哪些,"尊敬的同程VIP会员您好，目前确定的目的地为 桂林线路id:122973；厦门线路id:122985.（4天3晚）后期可根据用户需求及线路情况再进行目的地的增加(根据具体的产品行程设计再进行调整)， 均为4天3晚。如有疑问：[link url=""tel:4001807777""]400-180-7777[/link]进行详细咨询。"
,国内游蜜月布置是怎么安排的,尊敬的同程VIP会员您好，蜜月布置是只有一晚的哦，具体在哪一晚要看行程安排，一般会安排在集体婚礼那一晚的哦~
,国内游是专车接送吗,尊敬的同程VIP会员您好，我们是安排专车接送的哦，但是需要等待其他客人。
,国内游三天两晚时间太短，可以多停留几天吗,尊敬的同程VIP会员您好，目前提供的是三天两晚的行程，如果您还还需要增加两天，会有相应的产品推荐，用户可以进行报名参加，详情可以咨询400-7777777进行咨询哦
,专车采用的是什么车,尊敬的同程VIP会员您好，专车的类型会根据预约的人数而定，一般为商务车。
,国内游提前或者延迟回团，接送机怎么安排,尊敬的同程VIP会员您好，行程首日参团和最后日离开都有接送机安排，但是如果提前或推后无法安排接送机，同时酒店也无法安排哦。
,国内游有保险吗,尊敬的同程VIP会员您好，百旅会赠送国内游里面均含有旅游险哦。
,是否可以选择国假的团期,尊敬的同程VIP会员您好，国假基本不考虑，因为权益多是给父母老人使用，每月固定团期。避开完全国假，也避免高峰人流拥堵，达到行程真实轻松快乐的效果哦~
,国内游怎么预约及注意事项,"尊敬的同程VIP会员您好，可以通过线上平台预约，或者直接致电专属旅顾或客服进行预约，也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]进行热线电话预约哦~产品预约最晚出团前七天，预约时需确认出游人信息。"
,百旅会白金浪漫版有哪些权益,尊敬的同程VIP会员您好，白金浪漫版有以下权益，1：赠送一份双人国内游目的地跟团游。2：赠送双人平安保险“金色夕阳”医疗无忧险3：赠送特色旅拍一份+精美制作全家福一张4：赠送由中国旅游出版社发行《岁月与旅行》一年四本5：每个月可在当地门店领取百旅会会刊6：每周免费开设中老年大学，畅想幸福晚年7：入会即获3699的积分哦，预订线路享受积分优惠，8：全年365天安排一对一的专属客服给您提供专业的旅游建议哦~9：入会即赠送百旅会纪念大礼包一份哦~
,旅游产品是否可以让4个人使用，住在一个房间里，门票自费？,尊敬的同程VIP会员您好，这样是不可以的哦，由于酒店单个房间入住人员数量有限制，因此不能这样操作的哦~
,两个成人一个小孩，小孩怎么收费,"尊敬的同程VIP会员您好，按照对应旅游产品儿童价标准执行，加床、加位就是补成人价格；不加床，不加位，按市场补价。按合同中补位约定价格处理。（具体每条线路价格收费不一，可以详细致电[link url=""tel:4001807777""]400-180-7777[/link]进行详细咨询哦）"
,百旅会白金版问题请点这里,abc
,百旅会国内游包含往返交通吗,尊敬的同程VIP会员您好，百旅会权益赠送的国内游是目的地跟团游，不包含往返的大交通哦，需要您自行前往目的地集合的哦~
,预定成功，临时有事可以取消吗,"尊敬的同程VIP会员您好，1,出团前5天退团，权益直接返还，无损；
2,出团前5天内（含5天）退团，扣减该次权益（相当于已使用）；
若变更团期：则需要退掉当前订单，重新下单，退订要求如上。变更团期提前两周，并且只能变更一次！如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）
如果有紧急情况也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]~进行电话咨询。"
,百旅会线路,"尊敬的同程VIP会员您好：同程旅游的线路是针对全部会员的哦，出境游、跟团自由行、国内长线、短线都可以进行预订。线路上标有百旅会积分抵扣字样是百旅会会员能享受积分抵扣优惠线路，普通会员无法参与优惠活动~百旅会专属线路只是针对百旅会会员预订。如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）
如果有紧急情况也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]~进行电话咨询。"
,白金版线路和普通线路有什么区别吗,尊敬的同程VIP会员您好：百旅会所有产品全部自营，并且包含专属领队，金牌导游，高标准住宿，并且增加对应的专业优秀摄影师进行旅拍服务后期制作精美相册等。
,白金浪漫版·青岛520产品说明,"尊敬的同程VIP会员您好：1、白金浪漫版·青岛520，产品定价为3999元，特对3月18、19日会员日2天给予到3699元的促销价格；
2、青岛520区别于之前的版本，此版本定时定量定点，限量发售250套，先卖先得；
3、团期：2017年5月20日
4、行程天数：4天3晚
5、ID：129127"
